gene_length,folding_energy_80,folding_energy_70,length of 5prime utr,kozak score,N1,N4,in_frame AUG
206,-14,-8.7,60,5,3,1,0
588,-7.6,-10.7,25,6,2,1,0
348,-5.6,-3.5,39,4,1,1,0
1045,-13,-6.3,42,8,2,1,0
150,-3.5,-5.4,18,6,2,1,0
115,-9.9,-12.4,17,7,1,1,0
322,-3.9,-1.2,63,7,1,1,0
313,-8.2,-4.5,62,3,2,3,0
1009,-9.9,-7.7,422,7,1,1,3
544,-11.5,-7.5,127,4,3,1,1
855,-8.4,-8.4,28,6,4,1,0
303,-13.7,-13,31,5,1,1,0
268,-3.8,-1.6,39,6,4,1,0
296,-6.1,-10.5,68,3,3,3,0
327,-7.2,-7.2,23,5,2,2,0
299,-13,-13,27,5,4,3,0
1288,-8.2,-6.7,36,6,1,2,0
464,-8.9,-3.6,55,6,1,1,0
444,-6.9,-6.9,20,7,3,1,0
348,-12.4,-11.2,140,7,2,3,1
534,-12.2,-0.7,88,6,1,1,0
86,-4.3,-13.5,87,5,2,1,0
371,-12.5,-8.9,137,5,2,3,0
255,-6.6,-6.7,99,7,2,3,0
245,-3,-3,24,8,1,1,0
646,-12.8,-13.4,85,3,4,1,0
313,-14.3,-13.1,66,8,3,1,0
354,-6.3,-8,109,6,3,1,0
229,-9.5,-5,59,5,1,1,0
255,-8.6,-8.6,25,5,2,1,0
333,-6.6,-4.3,41,8,1,1,0
131,-1.7,-1.8,54,2,2,1,0
1038,-15.1,-6.4,380,6,2,1,6
725,-8.5,-8,44,6,3,1,0
341,-10.9,-6.5,223,7,1,1,0
157,-3.6,-5.3,16,8,1,1,0
92,-6.7,-10,17,6,1,1,0
287,-17.6,-2.2,48,5,3,3,0
314,-4.6,-5.8,19,7,1,1,0
445,-11.3,-10.1,187,3,2,1,2
1512,-10.3,-11.3,155,7,1,1,0
1284,-10.1,-16.6,214,8,4,1,0
643,-8.7,-8.7,27,9,1,1,0
325,-12.2,-12.7,99,5,4,1,0
527,-6,-12.2,382,7,4,4,4
500,-13,-8.4,83,5,2,1,0
245,-2.8,-2.8,29,8,3,1,0
558,-6.7,-1.6,322,7,4,1,0
561,-0.9,-7.7,69,7,1,1,0
979,-14.4,-13.4,40,6,3,1,0
915,-10,-9.9,95,5,3,1,0
388,-13.7,-13.2,37,4,1,4,0
621,-8.6,-8,197,7,1,1,0
617,-8.6,-4.5,101,7,1,1,1
732,-9.3,-8.4,83,6,1,4,0
437,-10.7,-10.7,33,8,1,4,0
305,-6.2,-8.6,116,4,1,2,0
218,-10.3,-6.5,65,8,4,1,0
607,-6.9,-11.9,91,4,3,1,0
334,-1.1,-1.1,47,6,1,1,0
200,-5.5,-5.5,21,8,2,1,0
346,-4.7,-5.4,23,6,4,3,0
185,-7.5,-13,52,6,1,1,0
237,-7.6,-3.4,41,4,2,1,0
353,-5.1,-5.1,57,6,3,3,0
363,-6.4,-7.3,17,8,1,3,0
927,-8.6,-7.5,88,8,2,1,0
366,-1.1,-8.9,90,5,1,3,0
368,-2.7,-2.7,27,4,4,1,0
424,-12.5,-10.2,125,4,4,4,0
185,-4,-4.7,23,5,2,1,0
154,-1.9,-5.1,19,5,1,1,0
371,-3,-8.2,118,7,2,1,0
256,-10.1,-4.6,35,6,1,1,0
316,-9.4,-14.2,121,3,3,3,0
304,-13.1,-15.4,48,4,1,1,0
437,-11.9,-9.3,65,5,1,1,0
818,-11.5,-8.5,81,4,1,3,0
339,-0.9,-0.9,27,4,3,1,0
336,-6,-3.4,42,9,2,1,0
850,-10.2,-10.5,25,4,2,3,0
640,-9.8,-5.7,217,3,1,1,0
410,-5.6,-2.82,196,5,4,1,0
170,-13.9,-13.7,143,4,1,3,0
144,-7.4,-7.7,20,9,1,1,0
240,-2.2,-0.9,48,5,1,1,0
192,-3.2,-4,18,3,2,1,0
456,-9.8,-9.8,23,4,1,3,0
448,-8,-8,24,6,4,1,0
245,-7.1,-7.1,27,6,4,1,0
188,-13,-7.8,68,2,2,2,0
394,-11.1,-9.2,32,6,4,1,0
618,-15.1,-10.5,49,2,2,4,0
361,-8.1,-4.6,114,7,1,1,0
1333,-6.5,-4.7,147,6,2,1,0
441,-3,-5.1,11,7,3,1,0
345,-12.1,-4.8,87,8,1,3,0
529,-12.2,-11,41,7,1,1,0
445,-9.3,-4.3,50,7,4,1,0
280,-3.6,-3.6,32,6,1,1,0
298,-5.8,-5.8,20,6,3,1,0
576,-14.6,-14.1,210,5,3,1,2
603,-14.5,-12.3,45,4,1,1,0
723,-8.6,-9.1,215,7,1,1,0
368,-6.9,-9.2,57,6,1,3,0
250,-6.9,-6.9,31,7,1,1,0
553,-6.5,-3.9,36,5,1,1,0
395,-1.6,-1.8,66,8,1,1,0
88,-6,-17.2,137,4,1,1,1
242,-11.5,-7.8,40,4,1,3,0
68,-5.6,-6.5,13,4,3,1,0
1836,-8.8,-15,144,7,2,1,0
395,-15.5,-15.9,81,1,2,4,0
300,-5.5,-12.4,172,8,2,1,0
316,-12,-5.6,66,4,1,2,1
328,-7.5,-5.3,86,5,4,2,0
965,-11.9,-13.2,137,5,3,3,0
348,-12.2,-10.4,64,6,1,1,0
838,-11.4,-6.8,40,5,3,1,0
315,-3.8,-10.3,145,8,1,1,0
327,-6.2,-7.7,85,6,4,1,0
1929,-15.5,-10.1,250,5,3,1,0
709,-13.3,-13,31,5,4,1,0
1132,-11.6,-8.8,117,5,2,1,0
1452,-20.3,-10.2,53,1,4,2,0
1229,-10.5,-9.8,122,5,2,1,0
600,-10.7,-5.7,91,5,4,1,0
441,-5.6,-4.9,38,7,4,1,0
184,-8,-8,24,5,4,1,0
980,-13.2,-7,100,3,1,2,0
285,-17.3,-9.9,59,2,3,4,0
327,-10,-10,29,5,3,1,0
431,-14.6,-15.5,42,6,1,3,0
159,-15.1,-6.6,99,8,2,1,0
174,-5.5,-3.8,95,4,3,2,0
118,-6.6,-8.8,23,3,2,2,0
326,-11,-5,75,7,1,1,0
132,-1,-1,35,7,4,1,0
613,-8.1,-8.8,26,4,2,4,0
286,-7.8,-7.3,38,3,3,1,0
369,-9.5,-7.8,154,3,4,3,4
161,-4.4,-4.4,27,7,1,1,0
507,-13,-7.9,122,4,1,3,0
300,-7.9,-15.2,151,7,1,1,0
218,-4.6,-8.1,65,7,4,1,0
429,-6.5,-7,143,4,3,1,1
596,-6.07,-14.1,187,6,3,1,0
1409,-15.2,-14.1,77,7,2,1,0
605,-8,-7.8,66,1,4,3,0
793,-8.3,-10.8,236,4,4,1,0
336,-13.6,-6.1,94,5,1,1,0
283,-8,-8,32,4,2,2,0
533,-9.5,-16.1,76,5,2,3,0
382,-5,-8.6,99,3,2,1,0
197,-4.2,-4.2,31,7,2,1,0
1429,-15,-7.1,62,5,4,1,0
387,-10.3,-10.3,20,7,1,1,0
371,-4.8,-7.6,158,7,4,1,0
247,-7.7,-7.7,33,7,1,1,0
617,-11.9,-13.1,47,4,4,2,0
760,-14.4,-8.5,98,5,2,1,0
177,-11.5,-11.5,28,3,4,3,0
310,-10.2,-7.9,36,5,3,1,0
195,-9.9,-9.4,48,7,4,1,0
335,-7.7,-11.3,14,3,2,4,0
493,-8.9,-8.9,21,3,2,1,0
348,-11.1,-11.1,34,3,1,3,0
322,-17.7,-11.4,66,6,1,1,0
247,-5.8,-2.5,51,5,2,1,0
575,-14.9,-9.1,34,5,3,3,0
222,-2.8,.0.00,52,7,1,1,0
540,-14,-7.1,56,4,2,1,0
397,-9,-8.5,37,5,2,1,0
281,-6,-6,24,4,3,2,0
270,-5.2,-5.2,33,8,1,1,0
1227,-9.4,-3.6,294,5,1,1,0
329,-18.3,-13.1,36,4,1,4,0
786,-8.8,-10.1,47,2,2,3,0
1199,-12.7,-7.6,76,7,1,1,2
627,-7.9,-10.5,91,5,2,1,0
366,-10.4,-8.7,177,6,3,1,0
289,-6.7,-3.7,44,4,2,3,0
338,-8.7,-3.8,42,7,3,4,0
433,-6.6,-6.6,26,4,1,1,0
159,-8.1,-8.6,211,3,1,2,2
385,-6.7,-7.5,114,3,2,4,2
209,-9.5,-7.3,49,6,3,1,0
443,-9.6,-9.6,27,5,3,1,0
260,-17.6,-17.6,26,2,3,3,0
130,-7.5,-7.3,169,9,1,1,0
454,-1,-1,33,6,2,1,0
249,-12.6,-8,32,6,4,3,0
1523,-13.9,-10.2,93,6,3,1,0
960,-20.2,-6.7,121,6,4,1,0
165,-10.5,-10.3,52,6,3,1,0
392,-5.4,-2.4,88,8,1,1,0
874,-9.3,-4.7,46,5,2,4,0
1081,-17.8,-17.3,236,6,2,1,0
532,-9.4,-8.9,245,5,3,1,0
592,-6.4,-1.9,38,5,1,2,0
535,-11.4,-5.4,97,7,1,1,0
568,-5.4,-5.4,32,5,1,1,0
1557,-10.9,-10.9,28,6,4,2,0
531,-9,-9,49,5,2,1,0
714,-11.8,-9.1,41,6,4,1,0
215,-9.5,-9.5,36,5,4,4,0
694,-12.3,-13.8,139,5,2,1,0
383,-9,-5.1,86,3,2,1,0
235,-11.5,-6.7,43,6,2,1,0
407,-3.8,-3.8,30,6,1,3,0
241,-15.4,-12.4,61,7,4,1,0
424,-9.9,-9.9,29,3,2,3,0
186,-9.4,-9,51,6,2,1,0
640,-6.5,-7.1,64,6,3,1,0
573,-11.6,-12.4,126,6,4,2,0
1042,-4.8,-2.9,33,5,1,1,0
581,-9.6,-7.7,51,4,2,1,0
509,-10.5,-10.5,27,5,2,1,0
147,-6.5,-6.5,23,8,2,1,0
394,-6.8,-7.6,113,6,2,1,0
438,-3.8,-3.8,31,7,1,1,0
1074,-9,-5.4,190,7,2,1,0
842,-2.5,-4.7,18,6,3,1,0
301,-11.2,-7.1,99,4,2,1,0
293,-8,-11.4,143,8,1,1,0
222,-4.8,-4.8,23,6,2,1,0
